Time,Year,Month,Day_of_week,Season,Temperature,Number_Of_Guest_Nights,Total_hours_worked,Sales_new_vehicles,Demand
19.0,1.0,9.0,2.0,4.0,25.2,54851290.0,1440.0,476766.0,3.838
1.0,3.0,1.0,5.0,1.0,5.2,40211200.0,1337.0,399533.0,3.073
13.0,2.0,5.0,5.0,2.0,26.0,39955140.0,1396.0,372567.0,3.5180000000000002
4.0,2.0,3.0,3.0,2.0,6.3,36661700.0,1447.0,69137.0,2.7939999999999996
8.0,3.0,6.0,3.0,3.0,22.9,42360590.0,1476.0,45376.0,3.241
18.0,2.0,3.0,3.0,2.0,5.2,36661700.0,1447.0,69137.0,4.294
18.0,3.0,8.0,3.0,3.0,27.2,44530530.0,1399.0,364214.0,4.105
19.0,3.0,8.0,3.0,3.0,27.0,44530530.0,1399.0,364214.0,4.322
11.0,3.0,5.0,2.0,2.0,24.5,40103250.0,1407.0,371857.0,3.437
19.0,4.0,2.0,1.0,1.0,15.0,39368380.0,1378.0,479421.0,3.633
8.0,3.0,4.0,3.0,2.0,18.1,42699480.0,1460.0,366146.0,3.159
7.0,2.0,1.0,2.0,1.0,8.3,39454220.0,1338.0,401648.0,3.4989999999999997
22.0,4.0,2.0,3.0,1.0,12.8,39368380.0,1378.0,479421.0,3.543
1.0,1.0,10.0,6.0,4.0,14.5,40890550.0,1434.0,378735.0,2.366
17.0,2.0,6.0,2.0,3.0,22.0,43002660.0,1490.0,477464.0,3.3810000000000002
22.0,1.0,10.0,4.0,4.0,26.1,40890550.0,1434.0,378735.0,3.1639999999999997
5.0,3.0,3.0,5.0,2.0,19.8,36765040.0,1426.0,667269.0,2.688
20.0,2.0,4.0,3.0,2.0,17.5,43862830.0,1480.0,354744.0,3.167
5.0,1.0,9.0,4.0,4.0,25.6,54851290.0,1440.0,476766.0,2.728
3.0,3.0,4.0,4.0,2.0,25.5,42699480.0,1460.0,366146.0,2.419
21.0,3.0,3.0,1.0,2.0,12.5,36765040.0,1426.0,667269.0,2.998
21.0,3.0,9.0,2.0,4.0,18.7,56158180.0,1390.0,485365.0,3.19
2.0,3.0,3.0,2.0,2.0,14.9,36765040.0,1426.0,667269.0,2.427
2.0,1.0,10.0,3.0,4.0,16.5,40890550.0,1434.0,378735.0,2.171
0.0,4.0,1.0,4.0,1.0,3.6,41699690.0,1303.0,40797.0,3.318
11.0,1.0,10.0,3.0,4.0,28.6,40890550.0,1434.0,378735.0,4.063
19.0,4.0,2.0,5.0,1.0,0.9,39368380.0,1378.0,479421.0,4.6
2.0,1.0,7.0,7.0,3.0,21.2,36895570.0,1465.0,4156.0,2.354
10.0,2.0,7.0,1.0,3.0,28.6,38329850.0,1458.0,427534.0,3.452
2.0,3.0,1.0,4.0,1.0,4.8,40211200.0,1337.0,399533.0,2.975
14.0,2.0,7.0,1.0,3.0,27.0,38329850.0,1458.0,427534.0,3.372
9.0,2.0,12.0,3.0,1.0,2.0,42109900.0,1441.0,394248.0,4.435
12.0,1.0,8.0,5.0,3.0,31.8,44332270.0,1403.0,336658.0,4.699
15.0,1.0,11.0,2.0,4.0,10.2,43107390.0,1454.0,417593.0,3.694
1.0,2.0,6.0,6.0,3.0,19.7,43002660.0,1490.0,477464.0,2.44
12.0,3.0,6.0,1.0,3.0,27.0,42360590.0,1476.0,45376.0,2.928
16.0,3.0,10.0,4.0,4.0,19.3,42163910.0,1439.0,418987.0,3.408
13.0,3.0,1.0,5.0,1.0,-1.1,40211200.0,1337.0,399533.0,4.295
11.0,2.0,2.0,6.0,1.0,18.8,36792560.0,1420.0,484722.0,3.63
3.0,2.0,6.0,1.0,3.0,20.2,43002660.0,1490.0,477464.0,2.226
18.0,3.0,4.0,3.0,2.0,20.5,42699480.0,1460.0,366146.0,3.478
6.0,4.0,1.0,6.0,1.0,7.4,41699690.0,1303.0,40797.0,3.8760000000000003
2.0,1.0,9.0,5.0,4.0,23.0,54851290.0,1440.0,476766.0,2.512
12.0,2.0,7.0,2.0,3.0,31.0,38329850.0,1458.0,427534.0,4.375
11.0,4.0,3.0,1.0,2.0,10.6,39820270.0,1383.0,640803.0,2.929
1.0,2.0,6.0,2.0,3.0,18.6,43002660.0,1490.0,477464.0,2.145
4.0,1.0,11.0,4.0,4.0,13.4,43107390.0,1454.0,417593.0,2.536
19.0,2.0,9.0,6.0,4.0,23.1,56797700.0,1438.0,495179.0,3.292
7.0,2.0,7.0,6.0,3.0,29.8,38329850.0,1458.0,427534.0,3.485
16.0,3.0,10.0,2.0,4.0,18.4,42163910.0,1439.0,418987.0,3.359
11.0,3.0,4.0,2.0,2.0,16.6,42699480.0,1460.0,366146.0,3.347
23.0,4.0,2.0,6.0,1.0,6.7,39368380.0,1378.0,479421.0,3.752
5.0,2.0,4.0,6.0,2.0,16.0,43862830.0,1480.0,354744.0,2.536
11.0,4.0,1.0,3.0,1.0,8.2,41699690.0,1303.0,40797.0,4.248
7.0,3.0,8.0,7.0,3.0,26.0,44530530.0,1399.0,364214.0,2.443
2.0,3.0,7.0,2.0,3.0,30.1,39572370.0,1452.0,441524.0,2.6180000000000003
19.0,2.0,7.0,7.0,3.0,27.1,38329850.0,1458.0,427534.0,4.0089999999999995
20.0,3.0,5.0,3.0,2.0,24.0,40103250.0,1407.0,371857.0,3.2319999999999998
7.0,3.0,5.0,7.0,2.0,13.3,40103250.0,1407.0,371857.0,2.605
2.0,2.0,12.0,3.0,1.0,2.6,42109900.0,1441.0,394248.0,2.8810000000000002
5.0,2.0,5.0,5.0,2.0,16.8,39955140.0,1396.0,372567.0,2.343
11.0,4.0,3.0,3.0,2.0,9.0,39820270.0,1383.0,640803.0,3.6319999999999997
1.0,3.0,12.0,3.0,1.0,11.4,42758200.0,1409.0,387522.0,2.603
8.0,1.0,4.0,1.0,2.0,18.7,42178210.0,1488.0,324738.0,2.408
20.0,2.0,5.0,5.0,2.0,20.3,39955140.0,1396.0,372567.0,3.22
6.0,1.0,9.0,5.0,4.0,26.6,54851290.0,1440.0,476766.0,2.841
20.0,1.0,11.0,4.0,4.0,8.0,43107390.0,1454.0,417593.0,3.687
20.0,2.0,4.0,5.0,2.0,16.8,43862830.0,1480.0,354744.0,3.2510000000000003
11.0,2.0,9.0,2.0,4.0,24.1,56797700.0,1438.0,495179.0,3.833
18.0,3.0,12.0,7.0,1.0,17.8,42758200.0,1409.0,387522.0,3.4010000000000002
1.0,3.0,6.0,4.0,3.0,25.8,42360590.0,1476.0,45376.0,2.718
16.0,1.0,6.0,5.0,3.0,22.7,40056510.0,1490.0,420907.0,3.373
18.0,1.0,8.0,5.0,3.0,27.5,44332270.0,1403.0,336658.0,4.532
12.0,2.0,10.0,7.0,4.0,22.5,42161920.0,1444.0,372464.0,2.9560000000000004
23.0,3.0,10.0,4.0,4.0,14.6,42163910.0,1439.0,418987.0,2.722
14.0,2.0,11.0,3.0,4.0,15.7,43824150.0,1456.0,406855.0,3.653
2.0,3.0,5.0,1.0,2.0,15.3,40103250.0,1407.0,371857.0,2.191
13.0,4.0,3.0,3.0,2.0,9.1,39820270.0,1383.0,640803.0,3.343
19.0,3.0,3.0,2.0,2.0,7.4,36765040.0,1426.0,667269.0,3.5639999999999996
21.0,1.0,8.0,1.0,3.0,24.9,44332270.0,1403.0,336658.0,3.0580000000000003
4.0,4.0,1.0,1.0,1.0,4.4,41699690.0,1303.0,40797.0,2.826
10.0,2.0,8.0,5.0,3.0,26.8,45887250.0,1393.0,3553.0,3.514
3.0,2.0,9.0,7.0,4.0,29.1,56797700.0,1438.0,495179.0,2.4219999999999997
15.0,2.0,2.0,7.0,1.0,11.8,36792560.0,1420.0,484722.0,3.197
21.0,2.0,9.0,4.0,4.0,25.8,56797700.0,1438.0,495179.0,3.4219999999999997
9.0,3.0,1.0,3.0,1.0,9.4,40211200.0,1337.0,399533.0,4.352
10.0,3.0,8.0,6.0,3.0,32.4,44530530.0,1399.0,364214.0,5.377000000000001
13.0,2.0,6.0,5.0,3.0,27.6,43002660.0,1490.0,477464.0,3.7239999999999998
2.0,4.0,1.0,2.0,1.0,3.6,41699690.0,1303.0,40797.0,2.81
7.0,1.0,9.0,4.0,4.0,20.6,54851290.0,1440.0,476766.0,2.782
7.0,3.0,2.0,4.0,1.0,7.3,35725280.0,1389.0,47387.0,4.397
6.0,2.0,8.0,5.0,3.0,28.1,45887250.0,1393.0,3553.0,2.38
15.0,2.0,12.0,3.0,1.0,9.6,42109900.0,1441.0,394248.0,3.755
19.0,2.0,11.0,7.0,4.0,11.6,43824150.0,1456.0,406855.0,3.56
17.0,1.0,9.0,6.0,4.0,21.1,54851290.0,1440.0,476766.0,3.6839999999999997
17.0,3.0,5.0,2.0,2.0,14.2,40103250.0,1407.0,371857.0,3.406
3.0,2.0,7.0,5.0,3.0,26.6,38329850.0,1458.0,427534.0,2.647
21.0,3.0,6.0,5.0,3.0,26.1,42360590.0,1476.0,45376.0,3.6830000000000003
5.0,2.0,6.0,5.0,3.0,20.4,43002660.0,1490.0,477464.0,2.449
3.0,2.0,11.0,5.0,4.0,17.0,43824150.0,1456.0,406855.0,2.477
20.0,3.0,7.0,3.0,3.0,27.6,39572370.0,1452.0,441524.0,4.387
10.0,2.0,8.0,3.0,3.0,30.8,45887250.0,1393.0,3553.0,4.475
11.0,3.0,3.0,6.0,2.0,9.6,36765040.0,1426.0,667269.0,3.5980000000000003
0.0,2.0,6.0,5.0,3.0,18.5,43002660.0,1490.0,477464.0,2.502
11.0,3.0,4.0,1.0,2.0,16.2,42699480.0,1460.0,366146.0,2.81
5.0,2.0,2.0,7.0,1.0,-1.1,36792560.0,1420.0,484722.0,3.162
7.0,1.0,8.0,5.0,3.0,30.5,44332270.0,1403.0,336658.0,3.283
3.0,3.0,3.0,6.0,2.0,15.7,36765040.0,1426.0,667269.0,2.503
1.0,1.0,4.0,3.0,2.0,14.5,42178210.0,1488.0,324738.0,2.33
22.0,4.0,3.0,5.0,2.0,7.6,39820270.0,1383.0,640803.0,3.154
20.0,1.0,11.0,5.0,4.0,1.3,43107390.0,1454.0,417593.0,4.303
15.0,1.0,12.0,7.0,1.0,6.1,39792340.0,1434.0,397531.0,3.3110000000000004
11.0,3.0,5.0,5.0,2.0,24.3,40103250.0,1407.0,371857.0,3.693
19.0,4.0,1.0,5.0,1.0,1.2,41699690.0,1303.0,40797.0,4.828
21.0,2.0,3.0,3.0,2.0,7.6,36661700.0,1447.0,69137.0,3.737
23.0,1.0,6.0,6.0,3.0,19.0,40056510.0,1490.0,420907.0,2.6289999999999996
22.0,1.0,7.0,6.0,3.0,23.7,36895570.0,1465.0,4156.0,3.304
4.0,1.0,11.0,3.0,4.0,12.0,43107390.0,1454.0,417593.0,2.424
19.0,2.0,4.0,2.0,2.0,15.5,43862830.0,1480.0,354744.0,3.315
0.0,1.0,5.0,3.0,2.0,19.5,38330190.0,1381.0,331586.0,2.6069999999999998
15.0,2.0,11.0,7.0,4.0,13.3,43824150.0,1456.0,406855.0,3.162
4.0,1.0,8.0,4.0,3.0,25.4,44332270.0,1403.0,336658.0,2.384
19.0,1.0,12.0,7.0,1.0,5.7,39792340.0,1434.0,397531.0,3.773
8.0,1.0,6.0,3.0,3.0,20.0,40056510.0,1490.0,420907.0,3.1860000000000004
19.0,2.0,6.0,2.0,3.0,19.9,43002660.0,1490.0,477464.0,3.444
7.0,2.0,8.0,4.0,3.0,32.0,45887250.0,1393.0,3553.0,3.418
6.0,4.0,2.0,7.0,1.0,10.9,39368380.0,1378.0,479421.0,3.424
20.0,3.0,2.0,1.0,1.0,1.9,35725280.0,1389.0,47387.0,4.0760000000000005
9.0,2.0,11.0,7.0,4.0,8.2,43824150.0,1456.0,406855.0,3.0580000000000003
7.0,3.0,9.0,5.0,4.0,22.7,56158180.0,1390.0,485365.0,2.958
17.0,2.0,9.0,5.0,4.0,21.4,56797700.0,1438.0,495179.0,4.091
5.0,4.0,2.0,7.0,1.0,10.1,39368380.0,1378.0,479421.0,2.78
13.0,3.0,6.0,1.0,3.0,25.2,42360590.0,1476.0,45376.0,2.6639999999999997
15.0,3.0,3.0,5.0,2.0,11.1,36765040.0,1426.0,667269.0,3.6010000000000004
6.0,3.0,6.0,7.0,3.0,19.2,42360590.0,1476.0,45376.0,2.501
4.0,2.0,11.0,2.0,4.0,14.3,43824150.0,1456.0,406855.0,2.349
8.0,4.0,3.0,1.0,2.0,13.5,39820270.0,1383.0,640803.0,2.847
6.0,2.0,8.0,6.0,3.0,28.7,45887250.0,1393.0,3553.0,2.5660000000000003
22.0,2.0,11.0,6.0,4.0,13.4,43824150.0,1456.0,406855.0,2.7319999999999998
9.0,3.0,3.0,4.0,2.0,16.7,36765040.0,1426.0,667269.0,3.265
20.0,1.0,10.0,6.0,4.0,21.4,40890550.0,1434.0,378735.0,3.1710000000000003
20.0,3.0,8.0,3.0,3.0,27.1,44530530.0,1399.0,364214.0,4.186
19.0,1.0,12.0,5.0,1.0,4.9,39792340.0,1434.0,397531.0,3.7030000000000003
0.0,2.0,6.0,2.0,3.0,21.7,43002660.0,1490.0,477464.0,2.451
7.0,2.0,2.0,7.0,1.0,7.4,36792560.0,1420.0,484722.0,3.125
21.0,3.0,9.0,1.0,4.0,23.1,56158180.0,1390.0,485365.0,3.037
8.0,2.0,11.0,3.0,4.0,6.5,43824150.0,1456.0,406855.0,3.872
10.0,1.0,11.0,5.0,4.0,14.5,43107390.0,1454.0,417593.0,3.0239999999999996
15.0,3.0,8.0,2.0,3.0,25.8,44530530.0,1399.0,364214.0,5.361000000000001
16.0,3.0,6.0,1.0,3.0,28.8,42360590.0,1476.0,45376.0,2.969
3.0,3.0,12.0,3.0,1.0,5.3,42758200.0,1409.0,387522.0,3.005
13.0,1.0,9.0,3.0,4.0,27.7,54851290.0,1440.0,476766.0,4.252
9.0,2.0,7.0,1.0,3.0,33.0,38329850.0,1458.0,427534.0,3.7460000000000004
20.0,1.0,9.0,5.0,4.0,22.9,54851290.0,1440.0,476766.0,3.6439999999999997
4.0,2.0,10.0,1.0,4.0,11.9,42161920.0,1444.0,372464.0,2.226
16.0,2.0,6.0,7.0,3.0,25.4,43002660.0,1490.0,477464.0,3.32
6.0,3.0,4.0,1.0,2.0,17.0,42699480.0,1460.0,366146.0,2.3
1.0,2.0,12.0,1.0,1.0,4.2,42109900.0,1441.0,394248.0,2.8539999999999996
5.0,1.0,4.0,2.0,2.0,10.9,42178210.0,1488.0,324738.0,2.324
18.0,2.0,9.0,5.0,4.0,22.7,56797700.0,1438.0,495179.0,3.802
20.0,1.0,11.0,3.0,4.0,11.1,43107390.0,1454.0,417593.0,3.495
21.0,2.0,9.0,3.0,4.0,21.8,56797700.0,1438.0,495179.0,3.216
13.0,2.0,11.0,1.0,4.0,12.2,43824150.0,1456.0,406855.0,2.917
2.0,2.0,9.0,3.0,4.0,25.0,56797700.0,1438.0,495179.0,2.56
16.0,2.0,10.0,3.0,4.0,11.3,42161920.0,1444.0,372464.0,3.5060000000000002
20.0,1.0,4.0,4.0,2.0,15.7,42178210.0,1488.0,324738.0,3.2560000000000002
0.0,3.0,4.0,7.0,2.0,19.7,42699480.0,1460.0,366146.0,2.6
6.0,3.0,10.0,4.0,4.0,25.8,42163910.0,1439.0,418987.0,2.625
12.0,3.0,7.0,6.0,3.0,29.9,39572370.0,1452.0,441524.0,4.874
23.0,3.0,7.0,4.0,3.0,26.9,39572370.0,1452.0,441524.0,3.859
8.0,3.0,8.0,2.0,3.0,24.8,44530530.0,1399.0,364214.0,4.5680000000000005
9.0,1.0,10.0,2.0,4.0,18.2,40890550.0,1434.0,378735.0,3.123
5.0,4.0,1.0,5.0,1.0,2.8,41699690.0,1303.0,40797.0,3.293
11.0,4.0,2.0,3.0,1.0,6.1,39368380.0,1378.0,479421.0,4.125
15.0,1.0,12.0,5.0,1.0,8.9,39792340.0,1434.0,397531.0,3.688
7.0,3.0,12.0,4.0,1.0,1.7,42758200.0,1409.0,387522.0,4.004
5.0,4.0,3.0,5.0,2.0,7.9,39820270.0,1383.0,640803.0,2.596
9.0,1.0,8.0,2.0,3.0,30.2,44332270.0,1403.0,336658.0,4.36
5.0,3.0,3.0,1.0,2.0,18.3,36765040.0,1426.0,667269.0,2.505
10.0,2.0,1.0,2.0,1.0,6.8,39454220.0,1338.0,401648.0,4.266
4.0,4.0,2.0,7.0,1.0,11.9,39368380.0,1378.0,479421.0,3.159
18.0,2.0,11.0,5.0,4.0,9.2,43824150.0,1456.0,406855.0,3.986
22.0,2.0,4.0,2.0,2.0,14.2,43862830.0,1480.0,354744.0,2.937
9.0,3.0,11.0,3.0,4.0,12.0,44483540.0,1474.0,44194.0,3.464
2.0,4.0,2.0,1.0,1.0,10.7,39368380.0,1378.0,479421.0,2.8739999999999997
17.0,3.0,12.0,4.0,1.0,9.1,42758200.0,1409.0,387522.0,4.1930000000000005
23.0,2.0,9.0,3.0,4.0,23.1,56797700.0,1438.0,495179.0,2.8960000000000004
5.0,1.0,7.0,1.0,3.0,24.4,36895570.0,1465.0,4156.0,2.1830000000000003
7.0,3.0,7.0,2.0,3.0,33.7,39572370.0,1452.0,441524.0,3.3280000000000003
0.0,3.0,5.0,3.0,2.0,21.8,40103250.0,1407.0,371857.0,2.4730000000000003
21.0,4.0,2.0,5.0,1.0,5.7,39368380.0,1378.0,479421.0,3.63
2.0,2.0,8.0,5.0,3.0,28.9,45887250.0,1393.0,3553.0,2.155
6.0,1.0,12.0,1.0,1.0,10.1,39792340.0,1434.0,397531.0,2.77
7.0,1.0,10.0,2.0,4.0,25.2,40890550.0,1434.0,378735.0,2.924
7.0,3.0,4.0,2.0,2.0,15.5,42699480.0,1460.0,366146.0,2.78
22.0,2.0,2.0,4.0,1.0,9.9,36792560.0,1420.0,484722.0,3.5410000000000004
4.0,3.0,3.0,5.0,2.0,20.7,36765040.0,1426.0,667269.0,2.58
5.0,3.0,7.0,6.0,3.0,29.2,39572370.0,1452.0,441524.0,2.773
17.0,3.0,1.0,4.0,1.0,8.5,40211200.0,1337.0,399533.0,4.359
22.0,3.0,8.0,5.0,3.0,27.2,44530530.0,1399.0,364214.0,3.9530000000000003
21.0,4.0,1.0,4.0,1.0,6.6,41699690.0,1303.0,40797.0,3.9960000000000004
1.0,3.0,5.0,7.0,2.0,15.8,40103250.0,1407.0,371857.0,2.498
0.0,4.0,1.0,1.0,1.0,3.2,41699690.0,1303.0,40797.0,3.159
5.0,3.0,1.0,5.0,1.0,3.9,40211200.0,1337.0,399533.0,3.116
11.0,1.0,7.0,2.0,3.0,32.8,36895570.0,1465.0,4156.0,4.698
17.0,1.0,9.0,1.0,4.0,22.8,54851290.0,1440.0,476766.0,3.195
23.0,4.0,3.0,4.0,2.0,8.4,39820270.0,1383.0,640803.0,3.055
18.0,3.0,9.0,1.0,4.0,19.8,56158180.0,1390.0,485365.0,3.1010000000000004
1.0,3.0,11.0,3.0,4.0,9.9,44483540.0,1474.0,44194.0,2.4819999999999998
14.0,1.0,5.0,5.0,2.0,22.3,38330190.0,1381.0,331586.0,3.522
7.0,3.0,10.0,7.0,4.0,12.7,42163910.0,1439.0,418987.0,2.6860000000000004
7.0,1.0,11.0,6.0,4.0,9.7,43107390.0,1454.0,417593.0,3.952
18.0,2.0,3.0,6.0,2.0,8.0,36661700.0,1447.0,69137.0,4.053
12.0,3.0,5.0,3.0,2.0,11.0,40103250.0,1407.0,371857.0,3.207
7.0,4.0,2.0,7.0,1.0,10.5,39368380.0,1378.0,479421.0,3.698
2.0,3.0,4.0,7.0,2.0,17.2,42699480.0,1460.0,366146.0,2.4530000000000003
16.0,2.0,5.0,4.0,2.0,18.3,39955140.0,1396.0,372567.0,2.477
11.0,2.0,5.0,4.0,2.0,17.9,39955140.0,1396.0,372567.0,3.3139999999999996
15.0,4.0,3.0,5.0,2.0,6.7,39820270.0,1383.0,640803.0,3.935
4.0,2.0,12.0,2.0,1.0,3.9,42109900.0,1441.0,394248.0,2.945
9.0,2.0,4.0,5.0,2.0,18.3,43862830.0,1480.0,354744.0,3.335
17.0,1.0,8.0,5.0,3.0,25.9,44332270.0,1403.0,336658.0,4.104
15.0,2.0,12.0,4.0,1.0,7.2,42109900.0,1441.0,394248.0,4.001
23.0,3.0,7.0,2.0,3.0,26.7,39572370.0,1452.0,441524.0,3.513
17.0,3.0,3.0,2.0,2.0,10.2,36765040.0,1426.0,667269.0,3.616
16.0,3.0,2.0,3.0,1.0,1.2,35725280.0,1389.0,47387.0,4.314
17.0,2.0,11.0,6.0,4.0,11.2,43824150.0,1456.0,406855.0,3.832
13.0,3.0,6.0,2.0,3.0,23.6,42360590.0,1476.0,45376.0,3.514
14.0,1.0,12.0,2.0,1.0,8.3,39792340.0,1434.0,397531.0,3.8510000000000004
0.0,4.0,3.0,6.0,2.0,6.8,39820270.0,1383.0,640803.0,2.9610000000000003
15.0,2.0,9.0,3.0,4.0,28.0,56797700.0,1438.0,495179.0,3.968
18.0,2.0,9.0,5.0,4.0,22.0,56797700.0,1438.0,495179.0,3.793
3.0,2.0,8.0,4.0,3.0,27.9,45887250.0,1393.0,3553.0,2.5
4.0,3.0,10.0,5.0,4.0,13.3,42163910.0,1439.0,418987.0,2.415
14.0,3.0,10.0,3.0,4.0,19.0,42163910.0,1439.0,418987.0,3.392
16.0,2.0,8.0,2.0,3.0,22.6,45887250.0,1393.0,3553.0,3.222
0.0,3.0,3.0,2.0,2.0,10.6,36765040.0,1426.0,667269.0,2.737
14.0,1.0,10.0,7.0,4.0,22.1,40890550.0,1434.0,378735.0,3.112
3.0,1.0,5.0,7.0,2.0,16.4,38330190.0,1381.0,331586.0,2.267
0.0,4.0,1.0,3.0,1.0,3.6,41699690.0,1303.0,40797.0,3.28
8.0,2.0,3.0,4.0,2.0,7.4,36661700.0,1447.0,69137.0,3.9160000000000004
21.0,2.0,1.0,6.0,1.0,3.8,39454220.0,1338.0,401648.0,3.9589999999999996
21.0,1.0,11.0,4.0,4.0,2.9,43107390.0,1454.0,417593.0,3.437
8.0,1.0,4.0,5.0,2.0,13.6,42178210.0,1488.0,324738.0,3.199
5.0,1.0,5.0,7.0,2.0,16.0,38330190.0,1381.0,331586.0,2.31
7.0,3.0,1.0,5.0,1.0,0.6,40211200.0,1337.0,399533.0,3.432
15.0,2.0,2.0,3.0,1.0,9.5,36792560.0,1420.0,484722.0,3.93
11.0,3.0,3.0,2.0,2.0,10.4,36765040.0,1426.0,667269.0,3.722
21.0,1.0,12.0,3.0,1.0,8.3,39792340.0,1434.0,397531.0,3.634
10.0,2.0,12.0,5.0,1.0,3.3,42109900.0,1441.0,394248.0,3.983
20.0,3.0,12.0,5.0,1.0,6.8,42758200.0,1409.0,387522.0,3.7969999999999997
14.0,3.0,12.0,6.0,1.0,5.9,42758200.0,1409.0,387522.0,3.528
16.0,2.0,5.0,4.0,2.0,16.4,39955140.0,1396.0,372567.0,3.327
22.0,2.0,2.0,7.0,1.0,7.0,36792560.0,1420.0,484722.0,3.361
21.0,3.0,8.0,6.0,3.0,25.5,44530530.0,1399.0,364214.0,3.911
18.0,1.0,9.0,2.0,4.0,25.1,54851290.0,1440.0,476766.0,4.04
12.0,3.0,8.0,3.0,3.0,28.5,44530530.0,1399.0,364214.0,3.813
21.0,2.0,3.0,4.0,2.0,6.7,36661700.0,1447.0,69137.0,3.739
